                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.145,                0.67261,                 1.1896,                0.81022,                0.86395,                 0.9012,                0.51657,                 1.5429,                0.82881,                 1.4807,             0.00040208,             0.00040208,             0.00040208
                     36,                 1.1882,                0.69389,                 1.1896,                0.85481,                0.85714,                0.91046,                0.52451,                 1.5698,                0.80487,                  1.499,             0.00037688,             0.00037688,             0.00037688
                     37,                 1.1487,                0.66645,                 1.1898,                0.84027,                0.85885,                 0.9004,                0.50787,                 1.5484,                0.82072,                 1.5245,             0.00035204,             0.00035204,             0.00035204
                     38,                 1.1829,                0.69332,                 1.1957,                0.77444,                0.88753,                0.89703,                0.50177,                 1.5604,                0.80673,                  1.505,             0.00032761,             0.00032761,             0.00032761
                     39,                 1.1416,                0.65488,                 1.1598,                0.81791,                0.88614,                 0.9143,                0.52462,                   1.54,                0.78768,                 1.4726,             0.00030367,             0.00030367,             0.00030367
                     40,                 1.1258,                0.64079,                  1.146,                0.80908,                0.83673,                0.90369,                0.53064,                 1.5249,                0.79268,                 1.4659,             0.00028027,             0.00028027,             0.00028027
                     41,                 1.1297,                0.67961,                 1.1639,                0.88436,                0.78041,                0.90857,                0.52858,                 1.5776,                0.78938,                 1.4932,              0.0002575,              0.0002575,              0.0002575
                     42,                 1.1144,                0.64853,                 1.1413,                0.89342,                0.80272,                0.90396,                0.52763,                 1.5455,                0.79314,                 1.4926,              0.0002354,              0.0002354,              0.0002354
                     43,                  1.078,                0.63442,                 1.1328,                0.84521,                0.81719,                0.90263,                0.52929,                 1.5502,                0.78005,                 1.5039,             0.00021405,             0.00021405,             0.00021405
                     44,                 1.0826,                 0.6285,                 1.1556,                0.84829,                0.84354,                0.91413,                0.53673,                 1.5549,                 0.7614,                 1.4736,             0.00019349,             0.00019349,             0.00019349
                     45,                 1.1073,                0.63634,                 1.1503,                0.89374,                0.84354,                0.92686,                0.54142,                 1.5496,                0.74339,                 1.4746,             0.00017378,             0.00017378,             0.00017378
                     46,                  1.094,                 0.6166,                 1.1391,                0.87474,                0.89116,                0.92565,                0.54158,                 1.5582,                0.73662,                  1.488,             0.00015498,             0.00015498,             0.00015498
                     47,                 1.0749,                0.59317,                 1.1231,                0.85324,                0.90969,                0.92819,                0.54074,                 1.5659,                0.74016,                 1.4958,             0.00013714,             0.00013714,             0.00013714
                     48,                  1.077,                0.61367,                 1.1493,                0.83128,                0.90496,                0.91646,                0.53136,                 1.5532,                0.73951,                  1.487,             0.00012031,             0.00012031,             0.00012031
                     49,                 1.0249,                0.57613,                 1.0982,                0.86055,                0.89116,                0.91981,                0.52403,                 1.5649,                0.74251,                 1.4949,             0.00010454,             0.00010454,             0.00010454
                     50,                0.99874,                0.57009,                 1.0997,                0.87542,                0.87755,                0.92537,                0.52922,                 1.5711,                0.74676,                 1.5025,             8.9858e-05,             8.9858e-05,             8.9858e-05
                     51,                 1.1041,                0.60867,                 1.1869,                0.88574,                0.88435,                0.92689,                0.52473,                 1.5821,                 0.7323,                 1.5099,             7.6317e-05,             7.6317e-05,             7.6317e-05
